,File,TokensLemmas,LookUpCBS,No. of matches,FileType
0,018-armeniacancountrussiaanymo.txt,partnership beyond take russia specifically conflict reflect reportedly negative pillar official two renew vow dissipate small threat moscow interrogation injuring could desert fear act home remittance resident notice much western also die depreciation face soldier drunk spontaneous money diplomatic culminate war dozen process factor traditional worse save factor servicemen station crucial strategic economic disdain public amid family personnel fact detention move turned tension level spread murder exacerbate first parity local timing free relationship open sparked police child clear fire impact announce range bad reveal security march join late likely sanction statement legal imperative sudden source distrust later deepen entire landlocked perceived fire face deep context within consulate charge steep planned russian thereby depend new grief violence sensitivity enter wrangle little post generally yerevan significant unexploded soldier tension large alliance actively fresh close normal official debate magnify day quickly demonstration sow decline azerbaijan drive ally cordon outpouring immediate prompted partner calm base union high number russianled stem arm initial turkish early declare attend socalled selfconfessed evident seem impose system gyumri armenian return capital senseless heavyhanded wound tragedy react many ordnance trigger fundamental mishandle general victim case make indignant root virtual nagornokarabakh break mourn backdrop challenge protest armenia real january concern shock neighbour participate border seem others military kill anger secondlargest stab perception series steady funeral kill recognise weapon european send inherent second intense recently way living force appease prosecutor try seriously sixmonthold eurasian accept yet market rogue disregard premise reliable trigger pressure wave conscript failure trade calm reason murder absence city murder escalate infant arm president surprisingly economy day outrage refusal work advanced armenian insecurity country state investigator essential deal demand protester scurry random scrap relation turkey reliance armenianrussian asymmetry soon even part genocide authority turnabout never time alarm currency several supply question host raise would tank unexpected shooting slow respond lack hour unguarded favour morning role although,['lan'],1,0
1,260-turkeyredlinefreespeechcen.txt,path move still akin picture gulen akit zero police reaction supremacy clear yet justice group attack ataturk medium every hebdo however link impose turkish announce socalled french despise supporter set tantamount walk fethullah word community hand choose individual conventional behind heart figure accord regulation negative incessantly israel familiar islamist infidelity beloved least harshly prophet news aboutface punishable always standard blasphemy attract forgotten value leader position citizen nothing newspaper hypocritical many last allegiance offence insulting expression provocation threat accept portrayed office publishing fascist muhammad speech thrill islamist recite mostly precaution criticise protested restriction freedom could order reckless oath exaggerated response introduce poem seem dissatisfy today columnist obligation daily old establish accustomed nt love practice insofar begin pay citizen include roland day outrage attempt idol critic give mind charlie thing sail kemalist istanbul condemn erase say religion house speak personally country line ali yeni double founded visit paper unal siege idol agree protest point criticise mustafa regard publication colour know ca swear piece turkey global halidom kemal submit depict prohibition idolise since democratic come place publish intolerance gulenists verse lived red barthes good consider oh possible image silent society claim religion create columnist criticism even famous ideology turk happen manifestation reform publication development zaman dare defend souls prokemalist line history abolish eggs majority put one muslim defender gulenist worship never cartoon well kemalism false lead rule beaten describe caricature attack public situation certainly polytheism cumhuriyet print attack contrary muslim see kemalists akp school louder decision mockery label would government see lot say day critique fascism guard free support god turn prophet package satirical evidence symbol high follow week take short stone great purpose party traitor life tolerance pave student authority kindergarten attack leave enough course sake insult remember support morning social speak islam god ancient,['lan'],1,0
2,107-guardianviewontalksangelamerke.txt,move still middleweight putin raise careful detailed partnership strategy union yet world decency deal germany skirt beyond similar berlin take ukraine however appearance politician concession wait long antiislamic dealing russia former play long accord cameron regulation firm box page say national craft crisis solve want least two immigration reduce portfolio attract care size leader prime true exception position nothing reluctance concern many stick largely run become sign steadiness insistence norm could cop question difference reverse southern change bear enhance fundamental characteristic solid general politically prop seem cause monitoring president old quietly kingdom right adverse contender within change nostrum effect unalloyed reproach home domestically move present correspondent eye end manage forthright refusal bore unfortunately bring squabble actually asymmetrical get depart work past much script arise vague voter currently hardly obvious international sit also political control german rather specific manages influence disparity simply confer help charm relation may drive see sure chancellor expressly like matter france europe eurozone merkel term lead possible governs mrs politics gallery able operate problemsolver leadership strength want position outside isolation write reform measure certain learning solves year lead suspicion problem hawk country blow argues vladimir curve wind easily heap lead remark britain ukip mr quiet leader face often paint contrast crammed policy subject nevertheless leave european term greece cross debate angela essentially democrat hop london mobile problem nsa abroad would stature united government meeting heavyweight cope look difficulty think rescue parliamentarian explosive demonstration arrange show help dynamic important another corner austerity whether programme neighbour matter aspect guess external party neoliberal contradiction flow issue broad scandal minister together voice foreign wednesday moral phone one immigrant course david loudly immediate weight everyone top social rate keep strong reflection design,['isp'],1,0
3,205-popefrancissalmanrushdiechar.txt,pause highly prosecute terribly yell world beyond attack kind underscored space take discredit globalise impose palestinian setting game destroying word well unsavoury importance supreme moment go negative vatican ordeal deliver race among look upon identity wake artist two major government office psychopathic individual homosexuality distribution nothing understand challenge speech make justice deeply freedom view could protect reconcile theatre advocacy surge officer plane maher dignity university critic pope around friend west say much people terrorism wield effort suis force shout antisemite stake ethic supermarket global spontaneous democratic crack publish imposing france oppose europe clearer argument death event construction appear ideology deviant outside insult guest priority israeli form provoke either interpret understand clearly court public prevailing associate lecture attack reality number muslim press family allow merges god cartoon enter nuclear insidious awareness sort proisraeli follow culturally invitation influence practicality insist defamation outlook malicious murder desecrate salman lurk credibility climate insult determination variety bad free opt organisation report response police xenophobes express name islamophobia dangerous hostage hebdo lethal modern body along popular outwards crowd cookie book decide sensibility twist israel national sanction recent obviously alienation humanely destiny intend crime provocation societal dieudonne shin pushandpull generality change fire side focus context within effect bd unacceptable circumstance different religion alberto fair take talk protect overlap currently new apostasy unlike violence engages specific impossibility civilisational impulse law confrontation whose experience prosecutor criticism uphold publication elsewhere proper horrify line morbid vermont defend large history gazparri originality view shut peace degree censorship vulnerability involve strong official normal rushdie impromptu darkness residence government jew protection ago faith legislative boundary drawn feel learn silence evolve prozionist answer pose compatible top disease social facilitate felt je immunise incident fatwa include nonwestern acknowledge humour balance glorify community francis infectious counterpoint message lung minority perhaps sweep reference u nogo consistency value truths blasphemy value make many last historical channel suggest monster back direction inquiry entitle maximum expose today fully constitutional say powerful case right offends begin vital respect respect call society nature severe charlie case boycott endure understood sentiment use double solution january light extreme organ sympathetic islamophobes establish virus others companion divestment enactment abide society sentence urgent certain illustrate additional limit member condemn one someone order language poverty comedian set behaviour often satanic judicial properly problem difficult send criticisms cultural aberration zionist show week whether criminalisation matter way live homegrown editorial acceptable function try moral confusing century great operate condoning raise yet find group however abstract suffered pull use french clarity ensure long need side dr seek neither standard expression effectively indulge push lanka court novel question upheld hate address utterance slogan must day minimise banilieus effort less cutter give resolve stand prescribed country manila mention state enemy especially defend note political kill common community politic indirectly verse choice compromise weaponry consider determine killing address artist even part bill learn antisemitism expect muslims cartoonist draw performs sri time remark ground ethical mother central provocative worth mosque raise reinforce paris victimise ardently understandably punch vigilante suppress choose thankful say hurtful live without deter prohibit satirical hateful demonise absolute know purpose combine heed together course derrida push domain role,"['lan', 'virus', 'vulnerability']",3,0
4,013-anxiousbritainsuccourtvleadere.txt,human incomes world ever beyond attack kind space take whatever cause well individual liberal prevalence idea negative precarious continue two look number always tenant comfortable selftalk nothing office norman mostly dream could worry childcare response watch lieu stop longerterm hurtle piquancy observer election thing catechism overview campaigner increase much people mortgage antidepressant generation invite bread approximately also introspection mud democratic beset wage questionnaire stupor good tshirtsloganly politics everything bad go finding economic ukip tebbit clearly situation suddenly public sometimes attack anxiety michael issue look concrete median solution homeowner fear apathy happen turn level triangulation extremely first approach enjoy scale indebtedness vast static stock response child clear go evils impact modern set pursuing crash hand consumerism bad security accord chap wrong say national likely get weak wider add measurable unreasonable anxiety entire fund rational answer debate cognitive option mind quo psychologist new beneath democrat unfold control impossibility report intractable ca panic england suffer reduce like devise attendant confrontation need commence confrontation word low view get antianxiety energy hard get debate already servitude call status undisputed positive polling answer call compass describe social ofcom believe feel number tell deficit anticorporate usually orton hold statistic cause gargantuan six u ground publish happen student boomtime many last intoxicating prescription strong wrestle difference disciple low today option nt right circus call psephological prevent real run induced nation condition mild rather afraid awful try suppose demand saving leadership point didnts live year nameless series elite one indeed poverty certainly income incompatible attractive problem include panaceas think downsize interrogate three important high whether food living fifth life prospect strongly billion great remember basis anxious cliff rate away tactful yet anyone something find however politician workplace elicits control claim offering long cbt next campaign name inevitability behavioural fall unaffected hourly winner perform prioritise therapy green debt threequarters balm miss less average working house insecurity drug debt exercise take author political dids common place since constitutes shortage lived frailty enjoy percent want forthcoming identical rent time unemployed sociologist result would say anything build without turn cost spending doctor commonplace cite start know danger suggest seat condition enough television work,"['ids', 'isp', 'lan']",3,0
5,042-charliehebdocartoonistssmarter.txt,human bring legitimately believe encourage yet religious christian world something go invisible find jewishislamic dangerous attack necessarily take hebdo whatever utterly note hammer deserves confuse seem might moses disrupt exactly well connect bad paul come catholic refuse deep atheist twist theologically tells office reason forget moustache really position happen projection capture copy insult thing father unrepresentable function representational overinvesting iconoclast back inspire pretty deeply view satirist tradition point maximum bastard bad fully scatological say establish kick refuse nt must representations call end calf believe form less charlie thing actually satire terrorist religion much weapon people jesus take iconoclast insist christmas icon precisely pathological real inconceivable judaism especially image western think iconoclastic also speak interested rather constant ca may connection enemy common see else apparently ten like gilesfraser think little term eastern performing institution whose sense logic image la possible theology lead religion ridicule maybe resemblance sound story art tribe word crucial strike magazine st fearlessly godlike smash one muslims someone picture suspicious cartoonist worship well murderous innocent exist iconoclasm fellow ground job fundamentally pen graven blunt get paris attack reality see blur thus profoundly nonetheless murderer piss prohibits disrespect lot say distinction jew look genuinely bring confidence offensive thinking christian god fascinate without second abraham resist anything golden whole bear divine beliefs danger representation disturbingly slaughter fear way grand scribble mistaken creation insight cherish murder rudest ie activity commandment course far attack demur describes statue islam disrespectful ancient statue,"['apt', 'lan']",2,0
6,113-hollywoodlovesobamabutdoesobam.txt,dreamworks despicable world donation entertain every november liberation hearts race million moore look disabuse incursion explicit grace homosexuality person small via understand father cinema speech make mostly view woman nation militant middle mary assault home w around actually biz much emmy people towards simply drive fiance gay dissent foreigner war suit catch asset strategic five watch michelle unmarried appearance hearty suddenly ankle face prison holy though alone muslim refers family fact saudi husband crime first approval infidel foot dinner child express opposite dangerous impact struggle modern set barack time come march diplomacy wrong say exceptional learn film hope hostility bush frontrow throughout huge young plot believe ultimate religion cell underthecounter affinity new admirer ignite know may connection code like arab shape oh maybe gettysburg unfettered put godless country find belief arabia girl good get hollywood sex access love million give bring tame booster puritanical fearful transmit talk creation cut foreign date movie resentment tyler social conduct let careful believe reward sword best tell clergy imago usually end community hold presidential capital six u edge value grate make many depiction back endorsement wife mind old nt right obama make brother invite american power form spike state horrify elder executive win posthumous see emulate think kill point member region east one allah funeral download spoil beat oscars culture alist certainly allow infidel united cultural show matter way force biopic dollar romney life adviser woman bootlegger know power yet something find sophistication however announce might hundred need crazy celebrity campaign sequel windows comfort inspire thanks opinion president consider surprisingly lack humiliate guess edify folk happy star lawrence progress secret country address audience teenage place clothe special movie experience consider frustrate even part iran flatter art wear transgressive bar outlet try expect muslim reflect never disobey lee big offense inform show see obedient george film would say reveal gather without originally lack parent know danger seat model modest imperialism zionistcrusader enough television entertainment islam role men,['asset'],1,0
7,29.txt,response vulnerability incident impact include something number offer nearly implementation donor host defendant link overhaul tool announce might theft haworth attorney supreme security reportedly york july late say maine advisory news u personal foundation information individual action happen office thousand data customer court complimentary provide enhance favor general monitoring deploy expose involved website unauthorized multifactor discover state eligible throughout breach jessica earlier total university read ltd oneyear prevent people take new state pdf network take detection help may network suite others authentication like detect suny jesscahaworth research year company identity detail potentially step portswigger access service organization compromise decision organization endpoint protection class odds tilt whether credit burp pledge insight employee social although,"['authentication', 'vulnerability']",2,0
8,15.txt,human akin highly world fund nearly take make logistics prominent well remain behind salesforce hacker deliver among main article wake pack two override news major reason digitize person blockchain understand validation become view could costly company potential cause ninepage method include succinct encrypt forum bitcoin around damage people pending wright serve chain also interested conversation help creation global craig product encryption infiltrate detect business money subject block argument master extent process commit identify vala foreseeable blackhat outside crucial pursuit five economic concept regard lead select number head huffington present threat yorker diligence impactful blog use randomness espionage show earn excitement first satoshi rise free fraudulent napster maintain risk cyber opportunity clear modern theft fraud deal bad participant security dotcom accord alter webbased shift blackmarket want financial hightech personal reduce information deployed later trust alternative manufacturing step method context intention within surround client breach regulation efficiency open success currently new fuel unlike lie finite know decentralize process like little post act due dynamic entirely position exist landscape identity hindsight well project cryptocurrency familiarity degree hard strong conversation nutshell bring already circulate bachelor filesharing remain quickly parallels partner quite mainstay party transmission enigma encountered regardless constantly enhance nakamoto conduct industry infiltrate wrongdoing write stem early purchase comfort system future securely u alike many peertopeer mind duplicate case impossible end nature form wire possibility ego prescription chance mean toward quartz incorrect various skeptic try matter criminal speculation possible failed calamity certain entrepreneur segment write series one driver verification field appear industry transfer leader often gamechanger proliferation lexology card drive overzealously post important grow duplicate bitcoins develop believe become career innovative leave tenet great justified aggressive core commonly investor something ability market malware entrepreneur implementation however claim abstract might hundred unique need usefulness difficulttotrace name executive neither foundation violation late true force compromise advantage boom thousand data year whitecollar drug exploit discover secure afshar day incentivize ship give interaction business pursue transmission fail especially australian place disappear technology manipulation increasingly adopt presence embrace serve technique exploitation even part development explain particular tech majority skeptical system easily time broken technology currency supply show specialist peer credit result growth doubt professional arena release stop definitively use transaction safeguard role although,"['hacker', 'lan', 'malware']",3,0
9,114.txt,rapid response vulnerability proofofconcept transparency reaction incident check deactivate ability target attack exploit tell make digicert developer note note tool quinlan attacker explain master succession researcher report go popular leyden well range importance scan devops reveal security system go firm main relate say cloudbased recent advisory internet add neither comment independent publish prime pair widely log source last rody management explain post data lab customer operate mine gain monitoring immediately daily expose victim unsuccessful shaken case configuration right assault exploit within release harden abusing manager must servers day target affect advice pepper attempt key severe rash open tenable work ltd infrastructure framework combination use center product run approximately towards blogging pandemic recognize control swig report may software network suite previously severity code affect authentication detect environment increasingly unauthenticated master vendor post prompting fail identified attacker reiterate flaw due echoed exploitation fsecure ask firm company traversal tech particular flaw complete subsequent find expect environment release system exploitable easily actively critical cryptocurrency lineageos project public pair vulnerability several access portswigger attack poc essentially vulnerable mobile sign increase update issued digital saltstack would fall quickly server exploit blog jleyden ease important lengthy release short week remote directory provide withhold burp way ghost john build github insight yesterday target bypass center platform update tasty become hour apply cybersecurity variety certificate core salt abuse deployment,"['authentication', 'cybersecurity', 'lan', 'vulnerability']",4,1
