,Entity1,Entity2,Relation
0,crimes,alienation,expose
1,plane,darkness,clarity
2,impulses,politic,understood
3,Francis,insults,underscored
4,view,plane,expect
5,limits,space,raise
6,religion,provocation,understood
7,lines,provocation,drawn
8,governments,purposes,understand
9,Dieudonne,offends,prosecuted
10,country,terrorism,associated
11,France,terrorism,reports
12,government,offices,note
13,Europe,week,mosques
14,standards,state,performs
15,merges,boycott,criticisms
16,Jews,country,include
17,Rushdie,novel,endured
18,Rushdie,right,defended
19,forces,Francis,expressed
20,forces,speech,find
21,push,artist,pull
22,outlook,generality,remarks
23,Israel,lungs,note
24,consistency,stake,consider
25,beginning,consistency,insist
26,France,suppress,abide
27,society,freedom,allows
28,compromises,limits,ensure
29,Court,theatre,decided
30,courts,community,draw
31,importance,enactments,know
32,Rushdie,state,view
33,attacks,directions,need
34,Israel,people,suggests
35,case,settings,protect
36,limits,history,matter
37,poverty,change,addressed
38,debates,responses,prospect
39,Ofcom,word,thinks
40,views,deficit,constitutes
41,election,dids,turned
42,politicians,dream,feels
43,people,situation,find
44,author,%,describes
45,debt,options,increases
46,indebtedness,servitude,result
47,People,debt,incomes
48,life,anxiety,undisputed
49,attacks,life,suffer
50,prescriptions,drugs,issued
51,commonplace,problem,suggested
52,world,response,try
53,life,balm,continue
54,politics,answer,debates
55,public,confrontations,said
56,politics,confrontation,lives
57,threats,damage,appear
58,manipulation,opportunity,calamities
59,techniques,breaches,help
60,presence,blockchain,result
61,industries,transmissions,deliver
62,Bitcoin,purchases,encountered
63,force,matters,blockchain
64,understand,tenets,blockchain
65,person,creation,credited
66,chain,place,stems
67,Forum,time,means
68,conversations,Yorker,remains
69,entrepreneur,ego,claimed
70,entrepreneurs,currency,blockchain
71,enhanced,implementation,safeguarded
72,driver,skeptics,serves
73,excitement,2000s,parallels
74,mainstays,industry,shows
75,entrepreneurs,market,try
76,chain,exploits,means
77,wrongdoing,transactions,means
78,security,days,commit
79,Trust,deals,lies
80,Companies,success,blockchain
81,leaders,partners,use
82,field,career,want
83,Attackers,targets,exploits
84,Secure,Swig,days
85,vulnerabilities,servers,said
86,attackers,infrastructure,exploited
87,software,attack,revealed
88,systems,systems,said
89,environments,tool,configuration
90,SaltStack,update,reiterated
91,vendor,internet,explained
92,Masters,Internet,found
